"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"11";"";"RNULL_EU0805";"R0805_C";"R1, R2, R3, R4, R5, R6, R7, R8, R11, R12, R17";"";"";
"4";"";"R_EU0805";"R0805";"R19, R21, R22, R26";"";"";
"5";"";"SJ";"SJ";"SJ1, SJ2, SJ3, SJ4, SJ5";"SMD solder JUMPER";"";
"10";"100n";"C0805";"R0805";"C3, C4, C8, C9, C10, C11, C15, C16, C17, C28";"";"";
"2";"100u";"C_EL1R07";"C_EL1RASZT07";"C5, C21";"";"";
"1";"10k";"R_EU0805";"R0805";"R28";"";"";
"1";"150";"R_EU0805";"R0805";"R32";"";"";
"3";"1u";"C0805";"R0805";"C6, C18, C19";"";"";
"6";"2.2k";"R_EU0805";"R0805";"R10, R13, R18, R29, R30, R79";"";"";
"1";"20MHz";"XTAL_2NAGYSMD";"XTAL_NAGYSMD";"Q1";"";"";
"2";"22";"C0805";"R0805";"C1, C2";"";"";
"1";"220";"R_EU0805";"R0805";"R14";"";"";
"1";"220u";"C_EL1R07";"C_EL1RASZT07";"C20";"";"";
"2";"2k2";"R_EU0805";"R0805";"R9, R51";"";"";
"1";"330";"R_EU0805";"R0805";"R31";"";"";
"1";"4.7k";"R_EU0805";"R0805";"R27";"";"";
"1";"BC846BSMD";"BC846BSMD";"SOT23";"Q2";"NPN Transistor";"";
"1";"G +5 M 39 40";"PIN05_1";"PIN05_1";"PROG";"";"";
"1";"G 5 12 Sc Si So Ss Tx Rc Int";"PIN10_2";"PIN10_2";"CN_SYSTEM";"";"";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"STAB1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";
"10";"LED1206";"LED1206";"R1206";"DL1, DL2, DL3, DL4, DL5, DL6, DL7, DL8, DL9, DL10";"";"";
"10";"LED3MM";"LED3MM";"LED3MM";"DPL1, DPL2, DPL3, DPL4, DPL5, DPL6, DPL7, DPL8, DPL9, DPL10";"";"";
"1";"NOP";"R_EU0805";"R0805";"R20";"";"";
"1";"PIC32MX1XXSOIC";"PIC32MX1XXSOIC";"SOIC127P1032X265-28N";"PIC1";"";"";
"1";"PWR";"LED5MM";"LED5MM";"DL62";"";"";
"12";"Red";"LED5MM";"LED5MM";"DL11, DL12, DL13, DL14, DL16, DL17, DL34, DL35, DL36, DL37, DL38, DL39";"";"";
"7";"SCT2168SOP16";"SCT2168SOP16";"SO16";"IC1, IC2, IC3, IC4, IC5, IC6, IC7";"";"";
"10";"SPG2";"SPG2";"SPG2_3LED";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10";"";"";
"1";"TESTCSAVAR3.5";"TESTCSAVAR3.5";"TESTCSAVAR_3.5";"CN1";"";"";
