Qty;Value;Device;Package;Parts;Description
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;0R;R-EU_R0805;R0805;R15;RESISTOR, European symbol
1;10;R-EU_R0805;R0805;R55;RESISTOR, European symbol
1;10;R-EU_R1210;R1210;R51;RESISTOR, European symbol
4;100;R-EU_R0805;R0805;R26, R34, R35, R56;RESISTOR, European symbol
10;100n;C-EUC0805;C0805;C12, C24, C25, C26, C27, C51, C52, C55, C58, C62;CAPACITOR, European symbol
1;100u/16V;CPOL-EUE2.5-5;E2,5-5;C1;POLARIZED CAPACITOR, European symbol
1;100uF/16V;CPOL-EUE2.5-6;E2,5-6;C66;POLARIZED CAPACITOR, European symbol
1;10M;R-EU_R0805;R0805;R39;RESISTOR, European symbol
11;10k;R-EU_R0805;R0805;R1, R2, R3, R4, R19, R21, R23, R24, R28, R30, R54;RESISTOR, European symbol
6;10u;C-EUC0805;C0805;C17, C20, C21, C23, C56, C67;CAPACITOR, European symbol
1;120;R-EU_R0805;R0805;R36;RESISTOR, European symbol
1;12V;ZENER-DIODESOD80C;SOD80C;D15;Z-Diode
2;150n;C-EUC0805;C0805;C64, C70;CAPACITOR, European symbol
1;15k;R-EU_R0805;R0805;R10;RESISTOR, European symbol
1;1A;FUSE_PTC-1812;PTC1812L;F2;Resettable PTC
8;1N4148;DGLASSMD;DGLASSSMD;D1, D2, D3, D4, D16, D17, D18, D19;
4;1k;R-EU_R0805;R0805;R5, R14, R52, R53;RESISTOR, European symbol
9;1u;C-EUC0805;C0805;C2, C3, C28, C29, C59, C60, C61, C68, C69;CAPACITOR, European symbol
3;22-27-2021-02;22-27-2021-02;febr.10;42VBE, HP_KI, LAMPA;CONNECTOR
1;22-27-2031-03;22-27-2031-03;márc.10;SP_KI;CONNECTOR
1;22-27-2051-05;22-27-2051-05;máj.10;MIC;CONNECTOR
1;220;R-EU_R0805;R0805;R17;RESISTOR, European symbol
1;220n;C-EUC0805;C0805;C71;CAPACITOR, European symbol
2;220p;C-EUC0805;C0805;C7, C9;CAPACITOR, European symbol
1;220u/16V;CPOL-EUE2.5-7;E2,5-7;C57;POLARIZED CAPACITOR, European symbol
2;220uF/16V;CPOL-EUE2.5-7;E2,5-7;C54, C65;POLARIZED CAPACITOR, European symbol
1;220uF/50V;CPOL-EUE3.5-8;E3,5-8;C47;POLARIZED CAPACITOR, European symbol
7;22k;R-EU_R0805;R0805;R6, R7, R9, R12, R13, R32, R33;RESISTOR, European symbol
1;22p;C-EUC0805;C0805;C8;CAPACITOR, European symbol
3;2k2;R-EU_R0805;R0805;R22, R27, R38;RESISTOR, European symbol
3;3k3;R-EU_R0805;R0805;R16, R20, R48;RESISTOR, European symbol
1;4053D;4053D;SO16;IC3;Triple 2-channel ANALOG MULTIPLEXER
2;470;R-EU_R0805;R0805;R37, R49;RESISTOR, European symbol
6;470n;C-EUC0805;C0805;C4, C5, C11, C13, C15, C63;CAPACITOR, European symbol
4;470p;C-EUC0805;C0805;C14, C16, C18, C19;CAPACITOR, European symbol
2;470uF/16V;CPOL-EUE3.5-8;E3,5-8;C50, C53;POLARIZED CAPACITOR, European symbol
3;47k;R-EU_R0805;R0805;R25, R41, R42;RESISTOR, European symbol
1;47n;C-EUC0805;C0805;C10;CAPACITOR, European symbol
5;47u;L-EUPIS2816;PIS2816;L7, L8, L10, L11, L12;INDUCTOR, European symbol
1;4R7;R-EU_R0805;R0805;R50;RESISTOR, European symbol
4;4k7;R-EU_R0805;R0805;R8, R11, R29, R40;RESISTOR, European symbol
1;4k7 késl;R-EU_R0805;R0805;R47;RESISTOR, European symbol
1;4n7;C-EUC0805;C0805;C6;CAPACITOR, European symbol
1;5k6;R-EU_R0805;R0805;R31;RESISTOR, European symbol
1;6k8;R-EU_R0805;R0805;R18;RESISTOR, European symbol
8;D0805;D0805;D0805;D5, D6, D7, D8, D9, D10, D11, D20;
1;DR127;DR127;DR127;L9;High Power Density, High Efficiency, Shielded Inductors
1;Késl;C-EUC0805;C0805;C48;CAPACITOR, European symbol
3;LM833D;LM833D;SO08;IC1, IC2, IC4;OP AMP
