Designator;Mid X;Mid Y;Layer;Rotation
C10;128,59;18,1;Top;90
C11;122,24;11,67;Top;0
C12;110,81;18,1;Top;270
C13;103,19;18,1;Top;90
C14;115,89;13,02;Top;90
C15;110,81;13,02;Top;270
C16;128,59;23,18;Top;90
C17;146,69;28,26;Top;90
C18;128,59;33,34;Top;90
C19;115,89;33,34;Top;90
C2;108,27;28,26;Top;90
C20;133,67;33,34;Top;90
C21;111,44;33,34;Top;90
C23;83,03;39,21;Top;90
C24;85,09;39,21;Top;90
C27;125,57;20,96;Top;270
C3;108,27;23,18;Top;270
C4;136,21;18,1;Top;90
C5;141,29;13,02;Top;90
C6;133,67;13,02;Top;270
C63;67,47;18,26;Top;180
C64;70,01;21,91;Top;90
C7;115,89;28,26;Top;90
C70;59,53;18,26;Top;180
C8;128,59;13,02;Top;90
C9;115,89;23,18;Top;90
D1;108,27;18,1;Top;270
D2;106,05;18,1;Top;90
D3;146,69;23,18;Top;90
IC1;122,24;15,56;Top;90
IC2;122,24;25,72;Top;90
IC3;95,57;24,13;Top;90
IC4;122,24;32,07;Top;90
R1;141,29;18,1;Top;270
R10;133,67;18,1;Top;270
R11;138,75;13,02;Top;270
R12;131,13;13,02;Top;270
R13;113,35;23,18;Top;270
R14;131,13;18,1;Top;270
R15;146,37;13,02;Top;270
R16;103,19;13,02;Top;90
R17;115,89;18,1;Top;270
R18;100,65;13,02;Top;90
R19;113,35;18,1;Top;270
R2;105,73;28,26;Top;270
R20;105,73;13,02;Top;90
R21;113,35;13,02;Top;270
R22;131,13;23,18;Top;90
R23;133,67;23,18;Top;270
R24;108,27;13,02;Top;90
R25;141,29;23,18;Top;90
R26;143,83;23,18;Top;270
R27;143,83;28,26;Top;270
R28;103,19;23,18;Top;270
R29;122,24;35,88;Top;0
R3;105,73;23,18;Top;90
R30;103,19;28,26;Top;270
R31;138,75;33,34;Top;90
R32;131,13;33,34;Top;270
R33;113,67;33,34;Top;270
R34;136,21;33,34;Top;270
R35;109,22;33,34;Top;270
R4;138,75;18,1;Top;90
R5;143,83;13,02;Top;270
R52;63,5;18,26;Top;0
R53;67,79;21,91;Top;270
R6;110,81;28,26;Top;270
R7;110,81;23,18;Top;90
R8;136,21;13,02;Top;90
R9;113,35;28,26;Top;270
